Sender,Message
Sowmya,<Media omitted>
Sowmya,😂🤣🤣🤣😂 idhe
SINHA,Oh ok ardam aihindi
Sowmya,Hmm
Sowmya,Hlo
Sowmya,<Media omitted>
Sowmya,40th question nunchi cheyali
SINHA,Oh okkk
SINHA,Number malli delete cheysav ga
Sowmya,Inka koorchoni rasuko
Sowmya,😁
SINHA,Sare maavi anduku save cheysukonataru le
Sowmya,Abbaa
SINHA,Sare sare kani
Sowmya,Nenu evvariki save chesukonu ani cheppaga
Sowmya,🤦‍♀️
SINHA,Oh manchidi
Sowmya,Devudaa
Sowmya,Neeku em cheppakoodadhu asalu
SINHA,Cheppakarle telustayi
Sowmya,Em thelusthai
SINHA,Number delete cheystey telustadhi cheppu
Sowmya,This message was deleted
Sowmya,This message was deleted
Sowmya,Sarele emanna reply ivvali ante insta lo ivvu
Sowmya,<Media omitted>
SINHA,Thanks.... ☺️
Sowmya,Eee
Sowmya,CN assignment?
SINHA,🥹🥹
SINHA,nak nedra vasthundhi kani assignment avvale
Sowmya,😂🤣😂🤣😂
Sowmya,Abbaa...appudee nidhra😱
SINHA,hmm.....🥱🥱🥱
SINHA,U completed aa?
Sowmya,Ledhu 3 rasanu holidays ki mundhu
Sowmya,Inka remaining vi rayali
Sowmya,Inka chalule aapu
SINHA,🥺🥺.... Nenu first nunchi rayali
Sowmya,Rasuko rasukoo
Sowmya,Nenu madhyaname navvukunna
Sowmya,Sinha ela rasthado ani🤣
SINHA,Deniki
SINHA,😩😩
Sowmya,Thamaru emm rayaruga
SINHA,Nak rasey antha manchi vallu evaru vunaru Sowmya nv thappa.... ☺️🙃
Sowmya,Hloo
Sowmya,Ippudenti
Sowmya,Monna ooriki vellav ga...santoshi ki ivvachuga🙃
SINHA,Ha ivvadaniki valla nanna oppukovali ga... 😅
Sowmya,Plan vunte ela Aina ivvachu🤦‍♀️
Sowmya,Antha kashta pettadadam endhukule Ani nuvve ichi vundav
SINHA,Ala kadhu kani. Intiki vellaganey nak eevi ame gurtu lev
SINHA,Kanisam gurtu cheyadaniki nv msg cheyale... 😕
Sowmya,Oho
Sowmya,Ante..nenu
Sowmya,10 days matladakunda vundham ani fix ayya
SINHA,Ha nv
Sowmya,Andhuke cheyala
SINHA,Ahha... 🙄
Sowmya,Nijammm
Sowmya,Ledantee oorakoorakane msgs cheyakoodadhu
Sowmya,We should have control over ourselves ani
Sowmya,Try chesa
Sowmya,Work out ayyindhi anamata
SINHA,Enti.... 😯
Sowmya,Ante ...
Sowmya,Oorakaoorakane cheyakoodadhu kadga
Sowmya,Hi
Sowmya,Em chesthunnav
Sowmya,Ani ala
Sowmya,Neeku aithe asalu cheyakoodadhu
SINHA,Naku.... 😯😒
SINHA,Mee Anna vunadu cheyodhu ani aa roju ala cheysinandukey nenu cheyale...
SINHA,Lekapothey neney cheysey vadini
Sowmya,Oho
Sowmya,Busy ga mari nuvvu
Sowmya,Idhi antha kadhulee
Sowmya,10 days matladakunda vuntam ledha ani anukoni
Sowmya,Nenu matladala
SINHA,Antey ma vallu andaru touch loney vunnara
Sowmya,Leruu
SINHA,Nammocha
Sowmya,Nannu blind ga nammeyochu
SINHA,Ha ok... Ok
SINHA,Ithy parleydhu
Sowmya,Hmmmm
SINHA,Inaa anduku antha hatred Sowmya nenu antey.... 😒
Sowmya,Vammooooooooooo
Sowmya,Nenu cheppanaaa
SINHA,Alaaney vundhi
Sowmya,Ee mata aditya tho anu navvuthadu
Sowmya,Shabbaa....antee...neeku emo ardham kadhuu
Sowmya,Kanii ee 10 days anna vundagalana ani
Sowmya,Nenu msg cheyakoodadhu ani anukunna anthey
Sowmya,Nvv emo hatred ani evo pedha pedha matalu antunnav🤣
